normalized_name,name_wikichip,name_external,tdp (W)_wikichip,tdp (W)_external,TDP_differs,cores_wikichip,cores_external,Cores_differs
intel core i7-4960hq,intel core i7-4960hq,Intel® Core™ i7-4960HQ Processor,47.0,47.0,False,4,4,False
intel core i7-4960x extreme edition,intel core i7-4960x extreme edition,Intel® Core™ i7-4960X Processor Extreme Edition,130.0,130.0,False,6,6,False
intel core i7-4980hq,intel core i7-4980hq,Intel® Core™ i7-4980HQ Processor,47.0,47.0,False,4,4,False
intel core i7-5750hq,intel core i7-5750hq,Intel® Core™ i7-5750HQ Processor,47.0,47.0,False,4,4,False
intel core i7-5775c,intel core i7-5775c,Intel® Core™ i7-5775C Processor,65.0,65.0,False,4,4,False
intel core i7-5775r,intel core i7-5775r,Intel® Core™ i7-5775R Processor,65.0,65.0,False,4,4,False
intel core i7-5850eq,intel core i7-5850eq,Intel® Core™ i7-5850EQ Processor,47.0,47.0,False,4,4,False
intel core i7-5850hq,intel core i7-5850hq,Intel® Core™ i7-5850HQ Processor,47.0,47.0,False,4,4,False
intel core i7-5950hq,intel core i7-5950hq,Intel® Core™ i7-5950HQ Processor,47.0,47.0,False,4,4,False
intel core i7-5960x extreme edition,intel core i7-5960x extreme edition,Intel® Core™ i7-5960X Processor Extreme Edition,140.0,140.0,False,8,8,False
intel core i7-6500u,intel core i7-6500u,Intel® Core™ i7-6500U Processor,15.0,15.0,False,2,2,False
intel core i7-6560u,intel core i7-6560u,Intel® Core™ i7-6560U Processor,15.0,15.0,False,2,2,False
intel core i7-6567u,intel core i7-6567u,Intel® Core™ i7-6567U Processor,28.0,28.0,False,2,2,False
intel core i7-6600u,intel core i7-6600u,Intel® Core™ i7-6600U Processor,15.0,15.0,False,2,2,False
intel core i7-6650u,intel core i7-6650u,Intel® Core™ i7-6650U Processor,15.0,15.0,False,2,2,False
intel core i7-6660u,intel core i7-6660u,Intel® Core™ i7-6660U Processor,15.0,15.0,False,2,2,False
intel core i7-6700,intel core i7-6700,Intel® Core™ i7-6700 Processor,65.0,65.0,False,4,4,False
intel core i7-6700hq,intel core i7-6700hq,Intel® Core™ i7-6700HQ Processor,45.0,45.0,False,4,4,False
intel core i7-6700k,intel core i7-6700k,Intel® Core™ i7-6700K Processor,91.0,91.0,False,4,4,False
intel core i7-6700t,intel core i7-6700t,Intel® Core™ i7-6700T Processor,35.0,35.0,False,4,4,False
intel core i7-6700te,intel core i7-6700te,Intel® Core™ i7-6700TE Processor,35.0,35.0,False,4,4,False
intel core i7-6770hq,intel core i7-6770hq,Intel® Core™ i7-6770HQ Processor,45.0,45.0,False,4,4,False
intel core i7-6785r,intel core i7-6785r,Intel® Core™ i7-6785R Processor,65.0,65.0,False,4,4,False
intel core i7-6820eq,intel core i7-6820eq,Intel® Core™ i7-6820EQ Processor,45.0,45.0,False,4,4,False
intel core i7-6820hk,intel core i7-6820hk,Intel® Core™ i7-6820HK Processor,45.0,45.0,False,4,4,False
intel core i7-6820hq,intel core i7-6820hq,Intel® Core™ i7-6820HQ Processor,45.0,45.0,False,4,4,False
intel core i7-6822eq,intel core i7-6822eq,Intel® Core™ i7-6822EQ Processor,25.0,25.0,False,4,4,False
intel core i7-6870hq,intel core i7-6870hq,Intel® Core™ i7-6870HQ Processor,45.0,45.0,False,4,4,False
intel core i7-6920hq,intel core i7-6920hq,Intel® Core™ i7-6920HQ Processor,45.0,45.0,False,4,4,False
intel core i7-6950x extreme edition,intel core i7-6950x extreme edition,Intel® Core™ i7-6950X Processor Extreme Edition,140.0,140.0,False,10,10,False
intel core i7-6970hq,intel core i7-6970hq,Intel® Core™ i7-6970HQ Processor,45.0,45.0,False,4,4,False
